question;reponse
Qu'est-ce que le commerce ? ;Le commerce est une activité économique qui consiste en l'échange de biens, de services ou de marchandises entre des individus, des entreprises ou des entités économiques. Cet échange peut se faire à l'intérieur d'un pays (commerce intérieur) ou entre plusieurs pays (commerce extérieur ou international).
Qu’est-ce que la CNIL ?;La CNIL est la Commission nationale de l’Informatique et des Libertés créée en 1978. Elle informe les consommateurs de leurs droits sur les informations détenues par les entreprises, comme l’accès, le droit de modification, ou d’opposition.
Quelle est la fonction principale du RGPD ?;Le RGPD est le Règlement général sur la protection des données qui encadre la collecte, le traitement et la protection des données personnelles des consommateurs dans l’Union européenne.
Quels droits le RGPD garantit-il aux consommateurs ?;Le RGPD garantit le droit de savoir quelles informations sont détenues, le droit de s’y opposer, le droit d’y accéder et le droit de modifier ces informations.
Quels critères permettent de classer les clients ?;Les critères incluent le montant des achats, la fréquence des achats et la récence des derniers achats.
Comment peut-on segmenter les clients en catégories ?;En fonction des critères d’analyse, on peut classer les clients en catégories telles que VIP, fidèles, ou chasseurs d’opportunités.
À quel type de clients s’adressent les ventes privées ?;Les ventes privées s’adressent principalement aux clients VIP.
Citez trois catégories de clients mentionnées dans le cours;Les clients VIP, les clients fidèles et les chasseurs d'opportunités
Quelles sont les trois phases principales d'une démarche mercatique ?;La phase d'étude, la phase stratégique et la phase opérationnelle.
Que permet la phase d'étude ?;Elle permet de mieux connaître le marché, les clients et l'environnement grâce à des enquêtes.
Que signifie la phase stratégique ?;C'est l'art d'élaborer un plan d'actions cohérent pour le succès du produit, service, marque ou enseigne.
Quels sont les éléments du plan de marchéage ?;Produit, Prix, Place (distribution) et Promotion (communication).
À quoi sert la phase opérationnelle ?;Elle permet de définir des actions concrètes à mettre en place sur le terrain.
Quels critères de segmentation sont liés au consommateur ?;Critères démographiques, géographiques, socioéconomiques et psychographiques.
Qu'est-ce que le positionnement d'un produit ou d'une marque ?;C'est la place qu'occupe le produit, la marque ou l'enseigne dans l'esprit du consommateur par rapport à ses concurrents.
"Qu'est-ce que les ""4P"" du plan de marchéage ?";Produit, Prix, Place (distribution) et Promotion (communication).
Quels sont les types de segmentation à considérer dans une démarche mercatique ?;Les critères liés au consommateur et ceux liés à la consommation.
Quelle est l'importance de la stratégie dans une démarche mercatique ?;Elle permet de structurer les décisions et les actions pour le succès du produit ou de l'enseigne.
Qu'est-ce qu'une vente flash ?;Une promotion limitée dans le temps.
Qu'est-ce qu'une offre de remboursement ?;Un remboursement partiel ou total après achat.
Qu'est-ce qu'un produit girafe ?;Un produit vendu avec une contenance ou une quantité supplémentaire, par exemple 20% offert.
Qu'est-ce qu'une offre de reprise ?;La reprise d’un ancien produit en échange d’une réduction sur un nouvel achat.
Qu'est-ce qu'une vente par lot ?;Deux produits ou plus vendus ensemble à un prix avantageux.
Quels sont les outils de fidélisation les plus efficaces ?;Cartes de fidélité, bons de réduction personnalisés, newsletters, invitations à des événements, réseaux sociaux, blogs d’entreprise, parrainage.
Qu'est-ce qu'une carte de fidélité ? ;Un outil permettant d'accumuler des avantages tels que des points ou des réductions au fur et à mesure des achats.
Pourquoi la fidélisation du client est-elle un enjeu essentiel pour l’entreprise ?;Parce qu'elle permet de faire face à la concurrence accrue, qu'elle soit nationale ou internationale, physique ou virtuelle.
Qu'est-ce qu'un échantillon dans le cadre d'une fidélisation ?;Un produit offert gratuitement pour permettre au client de le tester.
Quels sont les types de promotions sur le prix ?;Offre spéciale, prix coûtant, bon de réduction, vente flash, offre de remboursement, offre de reprise, produit girafe, vente par lot, soldes.
Quel est le moyen de paiement le plus utilisé en point de vente et sur les sites marchands ?;La carte bancaire ou Paypal
Quelle est la limite de montant pour un paiement sans contact par carte bancaire ?;Le montant doit être inférieur à 50 €.
Pourquoi le paiement par chèque est-il de moins en moins utilisé et parfois refusé ?;En raison du risque de défaut de paiement (impayé).
Quelle est la limite de paiement en espèces (pièces ou billets) acceptée ?;Jusqu’à 1 000 €.
Comment un client paie-t-il avec son smartphone ?;Via une application, en approchant le smartphone du terminal de paiement.
Dans quel but un vendeur peut-il proposer des crédits ou des facilités de paiement ?;Pour déclencher la décision d'achat du client.
Quelle est la principale différence mentionnée entre les crédits et les facilités de paiement ?; Les crédits sont souvent proposés via une carte associée à un compte de crédit, tandis que les facilités de paiement (paiement échelonné) sont présentées comme un service gratuit offert par certains commerçants à leurs clients fidèles.
Quelles informations les sites marchands ont-ils l'obligation d'indiquer concernant la livraison avant la validation de la commande ?;Les délais et les frais de livraison.
Qu'est-ce que le Click and Collect ?;C'est un service qui permet de commander des produits sur internet et de les récupérer dans un point de vente physique.
Citez deux avantages du Click and Collect pour le client.;Pas de frais de livraison / Disponibilité immédiate (ou rapide) des produits / Flexibilité des horaires de retrait / Possibilité de vérifier le produit sur place.
Comment le client effectue-t-il un paiement avec son smartphone ?;Le client paie avec son smartphone via une application en l'approchant du terminal de paiement.
Comment fonctionne une carte cadeau ?;Montant prédéfini utilisable dans une enseigne, en une, ou plusieurs fois, avec date limite d'utilisation.
